Unnamed: 0,Product,Review_Summary,Rating
13197,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Poor suction and too much noise. Would be better if I bought a some other.,1
13198,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Good  quality,5
13199,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Technical could be better than him.,4
13200,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Nice,5
13201,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Good,5
13202,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Nice product....Delivered and installed within the time range...My selection was right.....,5
13203,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),After sell item maintenance and cleaning is not provided by company by free of cost. Even for cleaning of item they asked for charges. Its very unfortunate.,2
13204,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Great product. Timely delivery and installation.,5
13205,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Perfect ?,5
13206,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Good product,4
13207,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),good one. go for it.,4
13208,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),nice product. look is also good but i installed myself.,4
13209,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Nice product.,5
13210,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Nice chimney.... really good..,5
13211,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),nice chimney,4
13212,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Quality of the product is very good. Feels premium. Still no problem found. Recommend for 2-3 burner oven,4
13213,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Product is nice and I'm satisfied with it totally.  however I had faced issues regarding the installation as it took almost one month by company to do the installation with lots of follow ups. Thumbs up for the product and one less star for bad service.,4
13214,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Very nice product....awesome service by flipkart customer care service.......,5
13215,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),For me it's working perfectly,5
13216,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Good,4
13217,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Very good product,5
13218,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Good product,4
13219,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),it a nice product.. don't know how it works . after installing the product will know about it.,5
13220,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Very nice product.... Happy to use.,5
13221,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Nice product.. working good..,4
13222,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),I am writing this review after using this chimney for one week. It really work very good. Installation was done within 24 hours,4
13223,Hindware Nevio Plus 60  Auto Clean Wall Mounted Chimney?ÿ?ÿ(Black 1400 CMH),Good product. Value for money,4
