Unnamed: 0,Product,Review_Summary,Rating
0,"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",Great cooler.. excellent air flow and for this price. It's so amazing and unbelievable.Just love it ??,5
1,"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",Best budget 2 fit cooler. Nice cooling,5
2,"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",The quality is good but the power of air is decent,3
3,"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",Very bad product it's a only a fan,1
4,"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",Ok ok product,3
5,"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",The cooler is really fantastic and provides good air flow. Highly recommended,5
6,"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",Very good product,5
7,"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",Very nice,3
8,"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",Very bad cooler,1
9,"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)",Very good,4
